"Informazioni cronologiche","How old are you?","What is your gender?","How familiar are you with robots?","Can you guess what emotion the robot is expressing in this clip?","Do you think this reaction is coherent with the action performed by the actor?","What level of DISGUST is this clip showing?","What level of DISGUST is this clip showing?","What level of DISGUST is this clip showing?"
"2026/02/13 6:29:12 PM CET","18-24","Female","2","Anticipation","3","Level 2 : Disgust","Level 3 : Loathing","Level 1 : Boredom"
"2026/02/13 6:31:19 PM CET","18-24","Female","4","Anticipation","5","Level 2 : Disgust","Level 3 : Loathing","Level 1 : Boredom"
"2026/02/13 6:36:40 PM CET","55-64","Female","4","Surprise","5","Level 2 : Disgust","Level 3 : Loathing","Level 1 : Boredom"
"2026/02/13 6:44:08 PM CET","18-24","Male","2","Anticipation","4","Level 2 : Disgust","Level 3 : Loathing","Level 1 : Boredom"
"2026/02/13 6:52:46 PM CET","55-64","Male","3","Surprise","4","Level 2 : Disgust","Level 3 : Loathing","Level 1 : Boredom"
"2026/02/13 6:58:31 PM CET","55-64","Male","3","Anticipation","5","Level 2 : Disgust","Level 3 : Loathing","Level 1 : Boredom"
"2026/02/14 1:28:47 AM CET","25-34","Male","3","Surprise","5","Level 2 : Disgust","Level 3 : Loathing","Level 1 : Boredom"
"2026/02/14 9:27:52 AM CET","25-34","Male","4","Surprise","4","Level 2 : Disgust","Level 3 : Loathing","Level 1 : Boredom"
"2026/02/14 4:25:27 PM CET","18-24","Female","4","Surprise","3","Level 2 : Disgust","Level 3 : Loathing","Level 1 : Boredom"
"2026/02/14 4:55:01 PM CET","18-24","Male","3","Surprise","2","Level 3 : Loathing","Level 2 : Disgust","Level 1 : Boredom"
"2026/02/14 6:13:40 PM CET","25-34","Female","2","Joy","2","Level 2 : Disgust","Level 2 : Disgust","Level 1 : Boredom"
"2026/02/14 6:18:52 PM CET","18-24","Male","1","Surprise","5","Level 2 : Disgust","Level 3 : Loathing","Level 1 : Boredom"
"2026/02/14 7:03:02 PM CET","65+","Male","1","Surprise","5","Level 2 : Disgust","Level 3 : Loathing","Level 1 : Boredom"
"2026/02/14 7:43:52 PM CET","25-34","Male","5","None of the above","3","Level 2 : Disgust","Level 3 : Loathing","Level 1 : Boredom"
"2026/02/14 7:55:20 PM CET","25-34","Female","2","Anticipation","4","Level 2 : Disgust","Level 3 : Loathing","Level 1 : Boredom"
"2026/02/15 5:37:32 PM CET","18-24","Female","3","Surprise","2","Level 2 : Disgust","Level 3 : Loathing","Level 1 : Boredom"
"2026/02/16 6:43:07 PM CET","18-24","Male","3","Anticipation","5","Level 2 : Disgust","Level 3 : Loathing","Level 1 : Boredom"
"2026/02/18 8:20:23 PM CET","25-34","Male","5","Anticipation","4","Level 2 : Disgust","Level 3 : Loathing","Level 1 : Boredom"