"Informazioni cronologiche","Quanti anni hai?","Qual è il tuo genere?","Quanta familiarità hai con i robot?","Riesci a capire quale emozione sta cercando di esprimere il robot nel video?","Pensi che la reazione del robot sia coerente con l'azione dell'attore?","Che livello di SORPRESA è mostrato in questa clip?","Che livello di SORPRESA è mostrato in questa clip?","Che livello di SORPRESA è mostrato in questa clip?"
"2026/02/14 8:06:31 PM CET","55-64","Donna","1","Nessuna delle opzioni","5","Livello 2 : Sorpresa","Livello 1 : Distrazione","Livello 3 : Stupore"
"2026/02/14 8:37:34 PM CET","55-64","Uomo","3","Disgusto","3","Nessuna delle precedenti","Livello 2 : Sorpresa","Livello 3 : Stupore"
"2026/02/14 8:38:42 PM CET","55-64","Donna","1","Paura","2","Livello 3 : Stupore","Livello 2 : Sorpresa","Livello 3 : Stupore"
"2026/02/14 11:10:48 PM CET","55-64","Donna","1","Paura","4","Livello 1 : Distrazione","Livello 2 : Sorpresa","Livello 3 : Stupore"
"2026/02/15 10:02:57 AM CET","55-64","Donna","1","Disgusto","5","Nessuna delle precedenti","Livello 3 : Stupore","Livello 3 : Stupore"
"2026/02/15 10:10:55 AM CET","55-64","Uomo","1","Paura","3","Livello 2 : Sorpresa","Nessuna delle precedenti","Nessuna delle precedenti"
"2026/02/15 11:13:06 AM CET","65+","Uomo","1","Disgusto","2","Livello 2 : Sorpresa","Livello 2 : Sorpresa","Livello 2 : Sorpresa"
"2026/02/15 12:47:42 PM CET","18-24","Donna","1","Paura","3","Livello 1 : Distrazione","Livello 2 : Sorpresa","Livello 3 : Stupore"
"2026/02/15 1:44:50 PM CET","55-64","Donna","1","Disgusto","3","Livello 2 : Sorpresa","Livello 3 : Stupore","Livello 3 : Stupore"
"2026/02/17 2:09:45 PM CET","35-44","Donna","4","Aspettativa","4","Livello 2 : Sorpresa","Livello 1 : Distrazione","Livello 3 : Stupore"